uf Gaso_A Gaso_A AEAC Mistura Gaso_C icms 01/10 2021 TOTAL TOTAL
AC 0,1000 0,7925 0,1309 27% 0,6869 25,0% 6,5681 0,9917 1,6558 2,343
AL 0,1000 0,7925 0,1309 27% 0,6869 29,0% 6,0151 0,9912 1,7599 2,447
AM 0,1000 0,7925 0,1309 27% 0,6869 25,0% 6,0492 0,9890 1,5291 2,216
AP 0,1000 0,7925 0,1309 27% 0,6869 25,0% 5,2700 0,9895 1,3315 2,018
BA 0,1000 0,7925 0,1309 27% 0,6869 28,0% 6,0440 0,9917 1,7065 2,393
CE 0,1000 0,7925 0,1309 27% 0,6869 29,0% 5,7623 0,9901 1,6878 2,375
DF 0,1000 0,7925 0,1309 27% 0,6869 28,0% 6,4230 0,9956 1,8064 2,493
ES 0,1000 0,7925 0,1309 27% 0,6869 27,0% 6,0640 0,9923 1,6500 2,337
GO 0,1000 0,7925 0,1309 27% 0,6869 30,0% 6,3161 0,9928 1,9086 2,595
MA 0,1000 0,7925 0,1309 27% 0,6869 30,5% 5,9200 0,9890 1,8257 2,513
MG 0,1000 0,7925 0,1309 27% 0,6869 31,0% 6,4197 0,9956 1,9989 2,686
MS 0,1000 0,7925 0,1309 27% 0,6869 30,0% 5,6434 0,9917 1,7072 2,394
MT 0,1000 0,7925 0,1309 27% 0,6869 25,0% 6,2240 0,9906 1,5708 2,258
PA 0,1000 0,7925 0,1309 27% 0,6869 28,0% 6,1236 0,9901 1,7318 2,419
PB 0,1000 0,7925 0,1309 27% 0,6869 29,0% 5,9834 0,9912 1,7506 2,437
PE 0,1000 0,7925 0,1309 27% 0,6869 29,0% 5,8800 0,9912 1,7203 2,407
PI 0,1000 0,7925 0,1309 27% 0,6869 31,0% 6,4900 0,9890 2,0343 2,721
PR 0,1000 0,7925 0,1309 27% 0,6869 29,0% 5,3400 0,9973 1,5528 2,240
RJ 0,1000 0,7925 0,1309 27% 0,6869 34,0% 6,5600 0,9934 2,2452 2,932
RN 0,1000 0,7925 0,1309 27% 0,6869 29,0% 6,5619 0,9895 1,9231 2,610
RO 0,1000 0,7925 0,1309 27% 0,6869 26,0% 6,1310 0,9895 1,6110 2,298
RR 0,1000 0,7925 0,1309 27% 0,6869 25,0% 5,7520 0,9884 1,4549 2,142
RS 0,1000 0,7925 0,1309 27% 0,6869 30,0% 6,3589 0,9989 1,9098 2,597
SC 0,1000 0,7925 0,1309 27% 0,6869 25,0% 5,5300 0,9962 1,3878 2,075
SE 0,1000 0,7925 0,1309 27% 0,6869 29,0% 6,0860 0,9906 1,7817 2,469
SP 0,1000 0,7925 0,1309 27% 0,6869 25,0% 5,7710 0,9967 1,4475 2,134
TO 0,1000 0,7925 0,1309 27% 0,6869 29,0% 6,1000 0,9901 1,7867 2,474
